numero;dia;mes;nombre del dia
;jueves;enero;1
;viernes;enero;2
;sábado;enero;3
;domingo;enero;4
;lunes;enero;5
;martes;enero;6
;miércoles;enero;7
;jueves;enero;8
;viernes;enero;9
;sábado;enero;10
;domingo;enero;11
;lunes;enero;12
;martes;enero;13
;miércoles;enero;14
;jueves;enero;15
;viernes;enero;16
;sábado;enero;17
;domingo;enero;18
;lunes;enero;19
;martes;enero;20
;miércoles;enero;21
;jueves;enero;22
;viernes;enero;23
;sábado;enero;24
;domingo;enero;25
;lunes;enero;26
;martes;enero;27
;miércoles;enero;28
;jueves;enero;29
;viernes;enero;30
;sábado;enero;31
